"variable","standard"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Interview"
"Analysis","descriptive statistics"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Interview"
"Analysis","chi-square"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Interview"
"Analysis","chi-square"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Interview"
"Analysis","chi-square"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Interview"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Interview"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Interview"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Interview"
"Analysis","t-test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Interview"
"Analysis","t-test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Interview"
"Analysis","t-test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Interview"
"Analysis","Probit regression analysis"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Interview"
"Analysis","Probit regression analysis"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Interview"
"Analysis","Probit regression analysis"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Focus group"
"Analysis","descriptive statistics"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Focus group"
"Analysis","descriptive statistics"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Focus group"
"Analysis","descriptive statistics"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Focus group"
"Analysis","chi-square"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Focus group"
"Analysis","chi-square"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Focus group"
"Analysis","chi-square"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Focus group"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Focus group"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Focus group"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Focus group"
"Analysis","t-test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Focus group"
"Analysis","t-test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Focus group"
"Analysis","t-test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Focus group"
"Analysis","Probit regression analysis"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Focus group"
"Analysis","Probit regression analysis"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Focus group"
"Analysis","Probit regression analysis"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Survey/questionnaire"
"Analysis","descriptive statistics"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Survey/questionnaire"
"Analysis","descriptive statistics"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Survey/questionnaire"
"Analysis","descriptive statistics"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Survey/questionnaire"
"Analysis","chi-square"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Survey/questionnaire"
"Analysis","chi-square"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Survey/questionnaire"
"Analysis","chi-square"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Survey/questionnaire"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Survey/questionnaire"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Survey/questionnaire"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Survey/questionnaire"
"Analysis","t-test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Survey/questionnaire"
"Analysis","t-test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Survey/questionnaire"
"Analysis","t-test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Survey/questionnaire"
"Analysis","Probit regression analysis"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Survey/questionnaire"
"Analysis","Probit regression analysis"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","big"
"Methods","Survey/questionnaire"
"Analysis","Probit regression analysis"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","taste"
"Preference","good"
"Methods","Interview"
"Analysis","descriptive statistics"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","taste"
"Preference","good"
"Methods","Interview"
"Analysis","descriptive statistics"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","taste"
"Preference","good"
"Methods","Interview"
"Analysis","descriptive statistics"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","taste"
"Preference","good"
"Methods","Interview"
"Analysis","chi-square"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","taste"
"Preference","good"
"Methods","Interview"
"Analysis","chi-square"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","taste"
"Preference","good"
"Methods","Interview"
"Analysis","chi-square"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","taste"
"Preference","good"
"Methods","Interview"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","taste"
"Preference","good"
"Methods","Interview"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","taste"
"Preference","good"
"Methods","Interview"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","taste"
"Preference","good"
"Methods","Interview"
"Analysis","t-test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","taste"
"Preference","good"
"Methods","Interview"
"Analysis","t-test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","taste"
"Preference","good"
"Methods","Interview"
"Analysis","t-test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","taste"
"Preference","good"
"Methods","Interview"
"Analysis","Probit regression analysis"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","taste"
"Preference","good"
"Methods","Interview"
"Analysis","Probit regression analysis"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Stata"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","taste"
"Preference","good"
"Methods","Interview"
"Analysis","Probit regression analysis"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Excel"
"Country","Uganda"
"Crop","Finger Millet"
"VC Actor","Farmer/grower"
"Trait","taste"
"Preference","good"
"Methods","Focus group"
"Analysis","descriptive statistics"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SPSS"
