"variable","standard"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Cooks"
"Trait","Hardness"
"Preference","Harder"
"Methods","Ranking"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Cooks"
"Trait","Hardness"
"Preference","Harder"
"Methods","Ranking"
"Analysis","Fischer's LSD"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Cooks"
"Trait","Hardness"
"Preference","Harder"
"Methods","Ranking"
"Analysis","Friedman test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Cooks"
"Trait","Hardness"
"Preference","Harder"
"Methods","Ranking"
"Analysis","rank sum multiple comparison test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Cooks"
"Trait","Hardness"
"Preference","Harder"
"Methods","Hedonic scale"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Cooks"
"Trait","Hardness"
"Preference","Harder"
"Methods","Hedonic scale"
"Analysis","Fischer's LSD"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Cooks"
"Trait","Hardness"
"Preference","Harder"
"Methods","Hedonic scale"
"Analysis","Friedman test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Cooks"
"Trait","Hardness"
"Preference","Harder"
"Methods","Hedonic scale"
"Analysis","rank sum multiple comparison test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Cooks"
"Trait","Hardness"
"Preference","Harder"
"Methods","Sensory evaluation/taste testing"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Cooks"
"Trait","Hardness"
"Preference","Harder"
"Methods","Sensory evaluation/taste testing"
"Analysis","Fischer's LSD"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Cooks"
"Trait","Hardness"
"Preference","Harder"
"Methods","Sensory evaluation/taste testing"
"Analysis","Friedman test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Cooks"
"Trait","Hardness"
"Preference","Harder"
"Methods","Sensory evaluation/taste testing"
"Analysis","rank sum multiple comparison test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Cooks"
"Trait","Hardness"
"Preference","Harder"
"Methods","Cooking quality test"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Cooks"
"Trait","Hardness"
"Preference","Harder"
"Methods","Cooking quality test"
"Analysis","Fischer's LSD"
"Publication Type","Research article"
